run_name,avg_angle_delta,min_angle_delta,avg_distance_delta,min_distance_delta,learning_rate,unclamp_fape_ratio,enable_side_chain_fape_loss,clamp_fape_threshold,enable_distogram_loss,enable_lddt_loss
hyper_parameter_sweep_trial_33,43.8192,22.2091,19.9959,6.9929,0.01,0.2,False,30.0,True,True
hyper_parameter_sweep_trial_1,39.5186,24.8282,7.0864,4.7764,0.0001,0.0,False,30.0,True,True
hyper_parameter_sweep_trial_6,28.9595,18.334,3.7022,1.108,0.002,0.4,False,40.0,True,False
hyper_parameter_sweep_trial_32,51.9037,34.6173,9.5032,6.669,0.02,0.4,False,60.0,False,True
hyper_parameter_sweep_trial_29,38.5224,26.7596,8.7161,4.3106,0.002,0.0,True,30.0,False,True
hyper_parameter_sweep_trial_14,44.1192,20.2407,11.0892,6.2996,0.002,0.4,True,40.0,False,True
hyper_parameter_sweep_trial_10,38.1982,25.1906,6.8622,4.8655,0.002,0.2,True,40.0,False,False
hyper_parameter_sweep_trial_15,30.8233,18.5353,4.6667,1.5586,0.002,0.3,False,10.0,True,False
hyper_parameter_sweep_trial_16,29.9512,18.5122,3.5319,1.2457,0.002,0.1,False,40.0,True,False
hyper_parameter_sweep_trial_24,42.4713,29.2966,8.1765,6.1378,0.0001,0.5,True,50.0,True,True
hyper_parameter_sweep_trial_2,31.4627,15.4524,6.7013,4.0014,0.0002,0.0,False,30.0,True,True
hyper_parameter_sweep_trial_9,34.655,21.5767,8.4931,6.3345,0.0001,0.0,True,20.0,True,False
hyper_parameter_sweep_trial_25,45.3555,27.2723,7.8284,5.09,0.01,0.4,True,50.0,True,False
hyper_parameter_sweep_trial_21,32.6321,19.8276,4.7014,0.6276,0.002,0.2,False,40.0,True,True
hyper_parameter_sweep_trial_13,29.0384,17.6202,3.465,1.1824,0.002,0.2,False,40.0,True,False
hyper_parameter_sweep_trial_19,28.6851,11.1797,10.1555,1.3656,0.002,0.2,False,10.0,True,True
hyper_parameter_sweep_trial_3,33.1892,18.2194,6.573,1.3468,0.001,0.1,False,20.0,True,True
hyper_parameter_sweep_trial_12,28.9595,18.334,3.7022,1.108,0.002,0.4,False,40.0,True,False
hyper_parameter_sweep_trial_27,31.9653,19.3895,6.3288,1.6493,0.001,0.2,False,10.0,True,False
hyper_parameter_sweep_trial_17,32.6321,19.8276,4.7014,0.6276,0.002,0.2,False,40.0,True,True
hyper_parameter_sweep_trial_34,46.4115,27.6083,11.5934,10.1254,0.01,0.1,True,10.0,True,False
hyper_parameter_sweep_trial_0,32.6321,19.8276,4.7014,0.6276,0.002,0.2,False,40.0,True,True
hyper_parameter_sweep_trial_20,32.6321,19.8276,4.7014,0.6276,0.002,0.2,False,40.0,True,True
hyper_parameter_sweep_trial_23,30.4642,22.1055,8.6759,7.0577,0.0001,0.2,True,40.0,False,True
hyper_parameter_sweep_trial_5,29.2174,11.4238,13.0657,6.8283,0.001,0.4,False,30.0,True,True
hyper_parameter_sweep_trial_22,38.1235,28.4837,7.3097,5.2588,0.0002,0.4,True,60.0,False,False
hyper_parameter_sweep_trial_8,36.4094,21.8218,8.1655,5.641,0.0002,0.0,False,10.0,True,False
hyper_parameter_sweep_trial_4,31.2479,19.3859,6.9158,1.4256,0.001,0.3,False,30.0,False,True
hyper_parameter_sweep_trial_30,29.9228,18.0151,4.75,0.3979,0.002,0.4,False,50.0,True,True
hyper_parameter_sweep_trial_35,50.1264,23.9918,10.4345,5.0779,0.02,0.4,True,60.0,True,False
hyper_parameter_sweep_trial_26,43.5952,24.4406,7.3792,3.8149,0.005,0.5,True,40.0,True,False
hyper_parameter_sweep_trial_18,31.3984,20.8082,6.9359,3.542,0.0002,0.2,True,40.0,False,True
hyper_parameter_sweep_trial_37,30.0259,13.3732,7.7265,5.1243,0.0002,0.1,False,10.0,True,False
hyper_parameter_sweep_trial_36,25.9749,15.5717,5.6373,2.1748,0.0002,0.1,False,20.0,False,True
hyper_parameter_sweep_trial_28,34.0064,24.5427,10.3401,7.5642,0.005,0.0,True,10.0,False,False
hyper_parameter_sweep_trial_11,29.0384,17.6202,3.465,1.1824,0.002,0.2,False,40.0,True,False
hyper_parameter_sweep_trial_7,24.6835,16.8706,7.7383,5.4189,0.0001,0.0,True,20.0,False,True
hyper_parameter_sweep_trial_31,34.3253,23.11,7.4726,2.7409,0.0002,0.3,True,20.0,False,True
